Company,ShoeURL,ShoeName,colorSize,TotalScore,TotalReviews,Discontinued,Terrain,Arch,Use,Price,Discount,ShoeWeight,ToeDrop,FootHeight,ReleaseDate,GoodSummary,BadSummary,Summary,RatingsText,USARanking,FiveStars,FourStars,ThreeStars,TwoStars,OneStars,ProdInfo,SizenFit,OuterSole,UpperSole
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks,https://runrepeat.com/brooks-ghost-10,Brooks Ghost 10,9,97,133,N,Road,Neutral,Daily running,$120 ,$110 | 8%,9,12,18,,"Some users appreciated the Brooks Ghost 10’s high-performance construction.;A lot of testers with foot issues were happy that the shoe did not cause foot pain.;There were people who recognized the above average shock absorbing capacity of the midsole.;A majority of users stated that the shoe felt very comfortable.;Based on a number of reviews, the sole unit felt sturdy yet comfortable and less bulky.;Some narrated that they felt like they were running on clouds or air with the shoe on.;Most runners mentioned that the shoe felt like it was well made.;Reviewers appreciated the inclusion of a shoelace holder at the top of the tongue.;",One person observed the sole unit coming loose after only wearing it four times.;Some reviewers reported that the underfoot platform was too low to the ground and that the quality of cushioning was sacrificed.;Someone was unhappy about not getting enough arch support from the shoe.;Another tester noticed that the sides and top of the shoe were starting to deteriorate after merely two weeks of use.;There was a reviewer who revealed that the shoe did not have an effective grip on wet surfaces.;A few runners said that the quality of the shoe is poor.;,"The Brooks Ghost 10 is a neutral road running shoe that delivers both comfort and performance. It’s an ideal shoe for light training, tempo runs, long runs, and everyday use. Possessing minor yet significant updates from its predecessor, it brings runners a more cushioned, smoother, and adaptive ride.One person observed the sole unit coming loose after only wearing it four times.;Some reviewers reported that the underfoot platform was too low to the ground and that the quality of cushioning was sacrificed.;Someone was unhappy about not getting enough arch support from the shoe.;Another tester noticed that the sides and top of the shoe were starting to deteriorate after merely two weeks of use.;There was a reviewer who revealed that the shoe did not have an effective grip on wet surfaces.;A few runners said that the quality of the shoe is poor.;",4.8 / 5 based on 133 ratings,"How popular is Brooks Ghost 10 in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #12 most popular running shoes.",79%,10%,2%,1%,1%,"Brooks made it a point to reduce the weight of the newer version of the Ghost to make the shoe more lightweight. The 9th version of the shoe weighed approximately 10.6 ounces (301 grams), while this most recent version weighs in at around 10.4 ounces (295 grams).;The design of the upper was revamped to give the shoe more of an updated look. The color palette used on the fabrics is more matching and two-toned. The flashy detailing on the shoe’s predecessor was removed, giving way to minimal yet sleeker upper accents.;Runners can choose from a sufficient range of colorways. The new version comes in subdued colors as well as colors that are eye-catching. Whatever colorway the runner chooses, the option makes the shoe look versatile enough for street-wear.;Brooks has made the mid-foot more structured by adding an adjustable saddle construction. Now, runners can experience a more secure fit when the laces are tightened.;Lastly, guiding eyelets were introduced to the lacing system. These eyelets are found attached at the top of the tongue. Their main purpose is to hold the tongue of the shoe in place, preventing it from moving from side to side as the runner is in motion.;","The Brooks Ghost 10 comes in standard shoe sizes. Runners will be able to procure a pair in their usual size preferences. However, the width has more choices as the shoe is available in normal, narrow and wide widths. For gentlemen, the available widths are B - Narrow, D - Medium, and 2E – Wide. For the ladies, the options are 2A - Narrow, B - Medium, and D – Wide.","The outsole of the Brooks Ghost 10 is made up of two kinds of rubbers – the HPR Plus and blown rubber. The blown rubber covers the forefoot area of the outsole. This material offers durability and flexibility to the shoe. On the other hand, the HPR Plus covers the heel area of the outsole. It offers durability and extra traction.","The upper is made up of engineered mesh. It provides lightweight support to the dorsal part of the foot. The breathability of this material allows air to get in, keeping the foot cool during runs and training sessions. This material also possesses elastic characteristics, so it’s able to adapt to the shape of the runner’s foot."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Balance,https://runrepeat.com/new-balance-860-v7,New Balance 860 v7,5,95,56,N,Road,Stability,Daily running,$125 ,$74 | 41%,10,10,22,,"Reviews mentioned that the shoe provides great stability and support.;The no-sew construction reduced the risk of blisters and irritation.;The upper felts soft and breathable, based on a review.;Based on reviews, the New Balance 860 v7 was a comfortable shoe.;The shoe’s cushioning system delivers a soft, responsive ride.;Testers mentioned that the added cushioning in the heel provided a comfortable foot lock down.;",The New Balance 860 v7 is slightly expensive.;Few users mentioned that the shoe was heavy.;Available in limited color options.;,"Several liked the overall performance of the New Balance 860 v7. Made as a stability shoe, the shoe does not disappoint runners who are looking for support. The shoe provides a great combination of cushioning, comfort and breathability.The New Balance 860 v7 is slightly expensive.;Few users mentioned that the shoe was heavy.;Available in limited color options.;",4.6 / 5 based on 56 ratings,"How popular is New Balance 860 v7 in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #37 most popular running shoes.",75%,9%,4%,0%,2%,"The New Balance 860 v7 features a few major updates to provide a great balance of cushioning and stability. One of the updates is the TRUFUSE cushioning technology that is designed to deliver a reliable cushioning and responsive ride for long mile runs.;The shoe also comes with a lower heel drop. Its predecessor has a 12mm offset while the 7th version of the New Balance 860 has a 10mm offset. The 2mm difference will give runners a more natural and enhanced ride without sacrificing stability.;The New Balance 860 v7 features an engineered mesh that is designed for an exceptional fit and added support. The flexible mesh allows the shoe to accommodate a wider range of foot shapes. With fewer stitched overlays, the upper wraps the foot securely and comfortably.;","The shoe has a standard running shoe length. The engineered upper mesh that is very stretchable provides excellent fit to a wide range of foot measurements and shapes. The men’s version is available in medium, wide and extra-wide widths while the women’s version is available in medium and wide widths.",The shoe utilizes a blown rubber compound that is strategically placed in the outsole unit. It delivers reliable traction while running on the road and it gives durability on high-abrasion areas.,The New Balance 860 v7 features an engineered upper mesh that provides breathability. It is also flexible to comfortably wrap the foot. It still utilizes the asymmetrical heel counter and the midfoot support. The shoe retains the neoprene stretch tongue and lace.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adidas,https://runrepeat.com/adidas-ultra-boost-uncaged,Adidas Ultra Boost Uncaged,12,96,665,N,Road,Stability,Daily running,$180 ,$140 | 22%,9,10,20,,"A lot of runners welcomed the appealing look of the Adidas Ultra Boost Uncaged, which allowed them to use it casually.;The majority of reviewers commended its lightweight disposition.;Commenters said that the comfortable and long-lasting nature of this running shoe was worth its otherwise expensive price.;Many testers used the word ‘comfortable’ to describe their experience wearing this model.;The boost™ technology received high praise for its responsive performance and durability.;A user commented that the upper was able to wrap around their feet snugly and securely.;The overall quality was reliable for a lot of those who tested the Adidas Ultra Boost Uncaged.;","A few runners noted that the width of the Adidas Ultra Boost Uncaged was a bit tight.;One tester commented that it was a struggle to put on and that it needed a pull-tab to assist them.;A reviewer stated that it lacked mid-foot support, which could’ve been helpful for performance running.;The garter-like collar tended to irritate the skin after prolonged use, complained a tester.;","The Adidas Ultra Boost Uncaged gave comfort and security to a lot of runners. It kept their feet moving without restriction. The cushioning system was greatly appreciated, as well. Many said that this shoe was expensive, but its overall performance and service made it worth its price.A few runners noted that the width of the Adidas Ultra Boost Uncaged was a bit tight.;One tester commented that it was a struggle to put on and that it needed a pull-tab to assist them.;A reviewer stated that it lacked mid-foot support, which could’ve been helpful for performance running.;The garter-like collar tended to irritate the skin after prolonged use, complained a tester.;",4.8 / 5 based on 665 ratings,"How popular is Adidas Ultra Boost Uncaged in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #25 most popular running shoes.",82%,12%,2%,1%,1%,"Endless energy is given to the runner when they put on the Adidas Ultra Boost Uncaged. This running shoe delivers responsive cushioning, which is also lightweight and flexible. A boost of energy makes each step feel enabled, and it’s largely thanks to the springy boost™ full-length foam. The upper coverage looks and feels like a sock, thus permitting freedom of movement.;The outsole unit of this running shoe makes use of a rubber material that is elastic. It adapts to how the foot comes in contact with the ground, thus keeping it balanced and well-supported. It also works with the mid-sole in order to make the heel-to-toe transitions as smooth as possible for the wearer. The outsole isn’t stiff, as well.;The platform of the Adidas Ultra Boost Uncaged uses the high quality boost™ technology. Its springy nature energizes each step, allowing runners to land comfortably on the ground and then lift off with more oomph. It’s made from durable materials, so it won’t easily break down.;The upper unit features the Primeknit system, an engineered material that looks and feels like a woven fabric. It moves along with the foot, expanding as it lands on the ground and flexing as it rears for the toe-off. The SOCKFIT construction reduces irritation, especially when wearing the Adidas Ultra Boost Uncaged without actual socks.;","The Adidas Ultra Boost Uncaged uses standard measurements for its length. Men and women are able to get the correct size when selecting this model. The available width for both genders is medium, so those with medium sized feet are able to acclimate well to it when wearing it. Its semi-curved shape follows the natural curve of the human foot.","The STRETCHWEB outsole shields the rest of the sole unit from wear and tear. Its elastic nature adapts to the surface, expanding itself to balance out each step the runner takes. It even works alongside the mid-sole to return energy to the runner. This rubber material also delivers reliable surface traction, which is essential for every running session.","The Primeknit is a material that feels like cloth. It follows the shape and motion of the foot, essentially giving way for natural movement. It’s lightweight and flexible, too."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adidas,https://runrepeat.com/adidas-tracerocker,Adidas Tracerocker,4,95,369,N,Trail,Neutral,Daily running,$120 ,$70 | 42%,,,,,"Runners were generally appreciative of the Adidas Tracerocker’s design and aesthetics.;Many felt that it was comfortable to their feet.;One of the positive comments was the runners’ appreciation of the lightweight nature of this shoe.;It felt true-to-size, a majority of testers wrote.;The traction capability of the outsole was efficient, according to those who have tried it.;The general quality of this running shoe received positive feedback; for runners, it was well-made.;Consumers stated that the Tracerocker was durable and capable of lasting a long time.;Purchasers felt that the price of this shoe was affordable.;","After only a few weeks of use, a tester noticed a popping noise with every step and it annoyed him.;A few runners complained that the fit was too narrow.;The mid-sole unit felt a bit rigid, according to a disgruntled consumer.;Some reviewers reported that the cushioning wasn’t very soft or responsive, so it caused some discomfort during long running sessions.;","The general feedback for the Adidas Tracerocker was positive. A lot of runners appreciated this neutral running shoe and what it had to offer. Its capacity to handle the trails was admired by many. But some of its features didn’t work well for a number of those who have tried it. There were some issues with its mid-sole and its fit.After only a few weeks of use, a tester noticed a popping noise with every step and it annoyed him.;A few runners complained that the fit was too narrow.;The mid-sole unit felt a bit rigid, according to a disgruntled consumer.;Some reviewers reported that the cushioning wasn’t very soft or responsive, so it caused some discomfort during long running sessions.;",4.6 / 5 based on 369 ratings,"How popular is Adidas Tracerocker in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #301 most popular running shoes.",69%,23%,3%,2%,1%,"The Adidas Tracerocker is a trail running shoe that caters to those who have a neutral gait. Employing a sturdy construction, this model aims to function properly, even after many uses. The façade has a sporty look, with traditional overlays stitched onto the mesh to maintain overall structure and durability. A subdued, almost monochromatic color scheme maintains a clean and consistent visual aspect.;The mid-sole of this running shoe makes use of the standard foam, Ethylene vinyl acetate or EVA. It offers responsible cushioning, shock absorption and general comfort throughout the adventures on the trail. A molded foam insole adds a bit more cushioning.;The bottom part of the Tracerocker was designed to have aggressive gripping lugs. It’s made to allow the shoe to handle the unpredictable terrain with ease and sureness. A proprietary rubber compound is utilized here. It’s durable and able to provide responsible traction.;","The Adidas Tracerocker has a standard running shoe length. It follows the regular preferences of runners in terms of size. The available width for the men and women’s version is medium. It caters to those who have medium sized feet. It has a semi-curved shape, so it naturally adheres to the curve of the human foot.","The outsole unit of the Adidas Tracerocker makes use of the TRAXION® rubber pattern, which optimizes the placement of gripping lugs for better traction over the surfaces. The rubber compound used for this model is durable. Aside from providing grip, it also protects the mid-sole from wear and tear.",An abrasion-resistant textile is used for the upper unit of the Adidas Tracerocker. It protects the interior chamber from being infiltrated by rocks and other trail debris.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adidas,https://runrepeat.com/adidas-ultra-boost-x,Adidas Ultra Boost X,1,95,503,N,Road,Neutral,,0,0,,,,,"Many consumers thought that the Adidas Ultra Boost X was suitably lightweight for daily use.;The cushioning system was comfortable, noted several testers.;The lightweight disposition of this shoe gained the favor of runners.;A lot of those who have tried this shoe noted that it performed well on the roads.;The design of this shoe was welcomed by many purchasers.;The personalized coverage afforded by the unique arch design of this shoe received positive feedback.;A runner wrote that although this running shoe was a bit pricey, it was worth the purchase because of what it offered.;Those with small or narrow feet felt that it fits exactly as they expected.;The versatility of the Adidas Ultra Boost X in terms of use is well-received; it’s considered to be great for running, for workouts and for casual walks.;","Some runners felt that the sizing scheme for the Adidas Ultra Boost X was off; some felt that it was ½ size smaller while others deemed that it was ½ size larger.;This shoe felt a bit tight around the mid-foot section, commented several purchasers.;The heel section of the upper felt rough, according to a tester; it caused some blistering to the back of her feet.;According to a disconcerted user, this shoe had caused some stress fractures on her foot, as well as achy knees.;The rubber in the outsole unit tended to rub off easily, some runners observed.;","Generally, the feedback for the Adidas Ultra Boost X was positive. Many runners enjoyed this running shoe’s performance on the roads. They also welcomed its cool design and its lightweight nature. Conversely, there were consumers who had concerns with some of its components, with some of them even complaining of injuries while wearing it.Some runners felt that the sizing scheme for the Adidas Ultra Boost X was off; some felt that it was ½ size smaller while others deemed that it was ½ size larger.;This shoe felt a bit tight around the mid-foot section, commented several purchasers.;The heel section of the upper felt rough, according to a tester; it caused some blistering to the back of her feet.;According to a disconcerted user, this shoe had caused some stress fractures on her foot, as well as achy knees.;The rubber in the outsole unit tended to rub off easily, some runners observed.;",4.6 / 5 based on 503 ratings,"How popular is Adidas Ultra Boost X in United States? Load the map to learn more. The more popular, the darker the blue area. In United States it's the #172 most popular running shoes.",75%,17%,4%,2%,2%,"The Adidas Ultra Boost X is a running shoe that’s specifically designed for women. Its purpose is to move in accordance with the natural movement of the foot as it goes through the gait cycle. It even encompasses the majority of the shape of the foot via a specially designed upper that allows the fabric to wrap around the mid-foot section.;Visually, this shoe melds the design trends of running shoes and casual footwear. It has a cool look that’s not too striking, yet its different colorways allow the wearer to be more versatile when it comes to the aesthetics of their shoes. A knitted upper evokes the feeling of wearing a sock in lieu of actually wearing a sock.;One of the prime technologies of the Adidas brand is the boost™. Made up of compacted TPU pellets, this full-length foam offers responsive cushioning to the foot of the wearer. The outsole makes use of a rubber compound that is durable and efficient at delivering traction over the surfaces.;",The Adidas Ultra Boost X has a standard running shoe length. It comes in sizes that follow the regular measurements. The available width for the men and women’s versions is medium. It welcomes the runners who have medium sized feet. Its semi-curved shape naturally accommodates the form of the foot.,"The rubber that is used for the outsole unit of the Adidas Ultra Boost X is from Continental™. It’s a high-quality material that protects the rest of the sole unit from the abrasive nature of the roads. It also grips surfaces well, even wet ones.","The fabric that’s used for the upper unit is called the Primeknit. This material is similar to woven cloth, so it delivers the feeling of actually wearing socks. It’s also able to accommodate natural airflow into the foot-chamber, thus delivering a cool and dry interior environment."
